2026-02-26 02:27:53,839 | INFO | Pipeline | write_metrics | Metrics summary written to metrics.json
2026-02-26 02:27:53,840 | INFO | Pipeline | main | Job end | status: success
2026-02-26 02:48:23,150 | INFO | Pipeline | main | Job start
2026-02-26 02:48:23,151 | INFO | Pipeline | main | CLI arguments: Namespace(input='data.csv', config='config.yaml', output='metrics.json', log_file='run.log')
2026-02-26 02:48:23,151 | INFO | Pipeline | load_config | Loading config from config.yaml
2026-02-26 02:48:23,152 | INFO | Pipeline | load_config | Config validation success
2026-02-26 02:48:23,152 | INFO | Pipeline | load_config | Validated config: seed=42, window=5, version=v1
2026-02-26 02:48:23,152 | INFO | Pipeline | validate_data | Validating dataset from data.csv
2026-02-26 02:48:23,168 | INFO | Pipeline | validate_data | Rows loaded: 10
2026-02-26 02:48:23,168 | INFO | Pipeline | validate_data | Dataset schema validation success
2026-02-26 02:48:23,169 | INFO | Pipeline | process_pipeline | Processing steps: Rolling mean start
2026-02-26 02:48:23,174 | INFO | Pipeline | process_pipeline | Processing steps: Rolling mean end
2026-02-26 02:48:23,174 | INFO | Pipeline | process_pipeline | Processing steps: Signal generation start
2026-02-26 02:48:23,179 | INFO | Pipeline | process_pipeline | Processing steps: Signal generation end
2026-02-26 02:48:23,181 | INFO | Pipeline | write_metrics | Metrics summary written to metrics.json
2026-02-26 02:48:23,182 | INFO | Pipeline | main | Job end | status: success
2026-02-26 02:48:51,601 | INFO | Pipeline | main | Job start
2026-02-26 02:48:51,602 | INFO | Pipeline | main | CLI arguments: Namespace(input='data.csv', config='config.yaml', output='metrics.json', log_file='run.log')
2026-02-26 02:48:51,602 | INFO | Pipeline | load_config | Loading config from config.yaml
2026-02-26 02:48:51,602 | INFO | Pipeline | load_config | Config validation success
2026-02-26 02:48:51,603 | INFO | Pipeline | load_config | Validated config: seed=42, window=5, version=v1
2026-02-26 02:48:51,603 | INFO | Pipeline | validate_data | Validating dataset from data.csv
2026-02-26 02:48:51,609 | INFO | Pipeline | validate_data | Rows loaded: 10
2026-02-26 02:48:51,609 | INFO | Pipeline | validate_data | Dataset schema validation success
2026-02-26 02:48:51,609 | INFO | Pipeline | process_pipeline | Processing steps: Rolling mean start
2026-02-26 02:48:51,610 | INFO | Pipeline | process_pipeline | Processing steps: Rolling mean end
2026-02-26 02:48:51,610 | INFO | Pipeline | process_pipeline | Processing steps: Signal generation start
2026-02-26 02:48:51,612 | INFO | Pipeline | process_pipeline | Processing steps: Signal generation end
2026-02-26 02:48:51,614 | INFO | Pipeline | write_metrics | Metrics summary written to metrics.json
2026-02-26 02:48:51,614 | INFO | Pipeline | main | Job end | status: success
